standard_var_name,description,ccmh_var_name
SDS_99_22,Please select the traumatic event(s) you have experienced <inactive> answer: OBSOLETE: Other learned about (please specify below),SDS_99_22
SDS_99_23,Please select the traumatic event(s) you have experienced <inactive> answer: Other (please specify),SDS_99_23
SDS_17_1,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: Childhood physical abuse",SDS_17_01
SDS_17_2,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: Childhood sexual abuse",SDS_17_02
SDS_17_3,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: Childhood emotional abuse",SDS_17_03
SDS_17_4,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: Physical attack (e.g., mugged, beaten up, shot, stabbed, threatened with weapon)",SDS_17_04
SDS_17_5,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: Sexual violence (rape or attempted rape, sexually assaulted, stalked, abused by intimate partner, etc.)",SDS_17_05
SDS_17_6,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: Military combat or war zone experiences",SDS_17_06
SDS_17_7,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: Kidnapped or taken hostage",SDS_17_07
SDS_17_8,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: Serious accident, fire, or explosion (e.g., an industrial, farm, car, plane, or boating accident)",SDS_17_08
SDS_17_9,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: Terrorist attack",SDS_17_09
SDS_17_24,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: School / mass shooting",SDS_17_24
SDS_17_10,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: Near drowning",SDS_17_10
SDS_17_11,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: Diagnosed with life threatening illness",SDS_17_11
SDS_17_12,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: Natural disaster (e.g., flood, quake, hurricane, etc.)",SDS_17_12
SDS_17_13,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: Imprisonment or Torture",SDS_17_13
SDS_17_14,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: Animal attack",SDS_17_14
SDS_17_15,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: OBSOLETE: Other experienced event (please specify below)",SDS_17_15
SDS_17_16,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: OBSOLETE: Witnessed the serious injury or unnatural death of a person due to an accident, war or disaster",SDS_17_16
SDS_17_17,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: OBSOLETE: Unexpectedly witnessed a dead body or body part",SDS_17_17
SDS_17_18,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: OBSOLETE: Other witnessed (please specify below)",SDS_17_18
SDS_17_19,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: OBSOLETE: Learned that one's child or close loved one has a life threatening disease",SDS_17_19
SDS_17_20,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: OBSOLETE: Learned about the violent personal assault, serious accident or serious injury of a close family member or friend",SDS_17_20
SDS_17_21,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: OBSOLETE: Learned about the sudden unexpected death of a very close family member or friend",SDS_17_21
SDS_17_22,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: OBSOLETE: Other learned about (please specify below)",SDS_17_22
SDS_17_23,"OBSOLETE: Please select the traumatic event(s) you have experienced, witnessed, or learned about <inactive> answer: Other (please specify)",SDS_17_23
SDS_22,Family Support <inactive>,SDS_22
SDS_23,Social Support <inactive>,SDS_23
SDS_48,Extra-Curriculars <inactive>,SDS_48
SDS_51,ROTC <inactive>,SDS_51
SDS_58,Financial Stress Past <inactive>,SDS_58
CCAPS62_1,I get sad or angry when I think of my family,CCAPS_01_F62
CCAPS62_3,I am shy around others,CCAPS_03_F62
CCAPS62_4,There are many things I am afraid of,CCAPS_04_F62
CCAPS62_5,My heart races for no good reason,CCAPS_05_F62
CCAPS62_6,I feel out of control when I eat,CCAPS_06_F62
CCAPS62_8,I enjoy my classes,CCAPS_08_F62
CCAPS62_9,I feel that my family loves me,CCAPS_09_F62
CCAPS62_10,I feel disconnected from myself,CCAPS_10_F62
CCAPS62_11,I don't enjoy being around people as much as I used to,CCAPS_11_F62
CCAPS62_13,I feel isolated and alone,CCAPS_13_F62
CCAPS62_14,My family gets on my nerves,CCAPS_14_F62
CCAPS62_15,I lose touch with reality,CCAPS_15_F62
CCAPS62_16,I think about food more than I would like to,CCAPS_16_F62
CCAPS62_17,I am anxious that I might have a panic attack while in public,CCAPS_17_F62
CCAPS62_18,I feel confident that I can succeed academically,CCAPS_18_F62
CCAPS62_19,I become anxious when I have to speak in front of audiences,CCAPS_19_F62
CCAPS62_21,I have sleep difficulties,CCAPS_21_F62
CCAPS62_22,My thoughts are racing,CCAPS_22_F62
CCAPS62_23,I am satisfied with my body shape,CCAPS_23_F62
CCAPS62_24,I feel worthless,CCAPS_24_F62
CCAPS62_25,My family is basically a happy one,CCAPS_25_F62
CCAPS62_26,I am dissatisfied with my weight,CCAPS_26_F62
CCAPS62_27,I feel helpless,CCAPS_27_F62
CCAPS62_28,I use drugs more than I should,CCAPS_28_F62
CCAPS62_29,I eat too much,CCAPS_29_F62
CCAPS62_30,I drink alcohol frequently,CCAPS_30_F62
CCAPS62_31,I have spells of terror or panic,CCAPS_31_F62
CCAPS62_32,I am enthusiastic about life,CCAPS_32_F62
CCAPS62_33,When I drink alcohol I can't remember what happened,CCAPS_33_F62
CCAPS62_34,I feel tense,CCAPS_34_F62
CCAPS62_35,When I start eating I can't stop,CCAPS_35_F62
CCAPS62_36,I have difficulty controlling my temper,CCAPS_36_F62
CCAPS62_37,I am easily frightened or startled,CCAPS_37_F62
CCAPS62_38,I diet frequently,CCAPS_38_F62
CCAPS62_39,I make friends easily,CCAPS_39_F62
CCAPS62_40,I sometimes feel like breaking or smashing things,CCAPS_40_F62
CCAPS62_41,I have unwanted thoughts I can't control,CCAPS_41_F62
CCAPS62_43,There is a history of abuse in my family,CCAPS_43_F62
CCAPS62_44,I experience nightmares or flashbacks,CCAPS_44_F62
CCAPS62_45,I feel sad all the time,CCAPS_45_F62
CCAPS62_46,I am concerned that other people do not like me,CCAPS_46_F62
CCAPS62_47,I wish my family got along better,CCAPS_47_F62
CCAPS62_48,I get angry easily,CCAPS_48_F62
CCAPS62_49,I feel uncomfortable around people I don't know,CCAPS_49_F62
CCAPS62_50,I feel irritable,CCAPS_50_F62
CCAPS62_51,I have thoughts of ending my life,CCAPS_51_F62
CCAPS62_52,I feel self conscious around others,CCAPS_52_F62
CCAPS62_53,I purge to control my weight,CCAPS_53_F62
CCAPS62_54,I drink more than I should,CCAPS_54_F62
CCAPS62_56,I enjoy getting drunk,CCAPS_56_F62
CCAPS62_57,I am not able to concentrate as well as usual,CCAPS_57_F62
CCAPS62_58,I am afraid I may lose control and act violently,CCAPS_58_F62
CCAPS62_59,It's hard to stay motivated for my classes,CCAPS_59_F62
CCAPS62_60,I feel comfortable around other people,CCAPS_60_F62
CCAPS62_61,I like myself,CCAPS_61_F62
CCAPS62_63,I have done something I have regretted because of drinking,CCAPS_63_F62
CCAPS62_64,I frequently get into arguments,CCAPS_64_F62
CCAPS62_65,I find that I cry frequently,CCAPS_65_F62
CCAPS62_66,I am unable to keep up with my schoolwork,CCAPS_66_F62
CCAPS62_68,I have thoughts of hurting others,CCAPS_68_F62
CCAPS62_69,"The less I eat, the better I feel about myself",CCAPS_69_F62
CCAPS62_70,I feel that I have no one who understands me,CCAPS_70_F62
CCAPS34_3,I am shy around others,CCAPS_03_F34
CCAPS34_5,My heart races for no good reason,CCAPS_05_F34
CCAPS34_6,I feel out of control when I eat,CCAPS_06_F34
CCAPS34_11,I don't enjoy being around people as much as I used to,CCAPS_11_F34
CCAPS34_13,I feel isolated and alone,CCAPS_13_F34
CCAPS34_16,I think about food more than I would like to,CCAPS_16_F34
CCAPS34_17,I am anxious that I might have a panic attack while in public,CCAPS_17_F34
CCAPS34_18,I feel confident that I can succeed academically,CCAPS_18_F34
CCAPS34_21,I have sleep difficulties,CCAPS_21_F34
CCAPS34_22,My thoughts are racing,CCAPS_22_F34
CCAPS34_24,I feel worthless,CCAPS_24_F34
CCAPS34_27,I feel helpless,CCAPS_27_F34
CCAPS34_29,I eat too much,CCAPS_29_F34
CCAPS34_30,I drink alcohol frequently,CCAPS_30_F34
CCAPS34_31,I have spells of terror or panic,CCAPS_31_F34
CCAPS34_33,When I drink alcohol I can't remember what happened,CCAPS_33_F34
CCAPS34_34,I feel tense,CCAPS_34_F34
CCAPS34_36,I have difficulty controlling my temper,CCAPS_36_F34
CCAPS34_39,I make friends easily,CCAPS_39_F34
CCAPS34_40,I sometimes feel like breaking or smashing things,CCAPS_40_F34
CCAPS34_45,I feel sad all the time,CCAPS_45_F34
CCAPS34_46,I am concerned that other people do not like me,CCAPS_46_F34
CCAPS34_48,I get angry easily,CCAPS_48_F34
CCAPS34_49,I feel uncomfortable around people I don't know,CCAPS_49_F34
CCAPS34_51,I have thoughts of ending my life,CCAPS_51_F34
CCAPS34_52,I feel self conscious around others,CCAPS_52_F34
CCAPS34_54,I drink more than I should,CCAPS_54_F34
CCAPS34_57,I am not able to concentrate as well as usual,CCAPS_57_F34
CCAPS34_58,I am afraid I may lose control and act violently,CCAPS_58_F34
CCAPS34_59,It's hard to stay motivated for my classes,CCAPS_59_F34
CCAPS34_63,I have done something I have regretted because of drinking,CCAPS_63_F34
CCAPS34_64,I frequently get into arguments,CCAPS_64_F34
CCAPS34_66,I am unable to keep up with my schoolwork,CCAPS_66_F34
CCAPS34_68,I have thoughts of hurting others,CCAPS_68_F34
CLICC_1_1,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Anxiety,CLICC_01_01
CLICC_1_1101,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Anxiety: Generalized,CLICC_01_1101
CLICC_1_1102,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Anxiety: Social,CLICC_01_1102
CLICC_1_1103,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Anxiety: Panic attack(s),CLICC_01_1103
CLICC_1_1104,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Anxiety: Test taking,CLICC_01_1104
CLICC_1_1105,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Anxiety: Specific phobia,CLICC_01_1105
CLICC_1_1106,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Anxiety: Unspecified/other,CLICC_01_1106
CLICC_1_2,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Obsessions or compulsions,CLICC_01_02
CLICC_1_3,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Perfectionism,CLICC_01_03
CLICC_1_4,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Stress,CLICC_01_04
CLICC_1_5,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Depression,CLICC_01_05
CLICC_1_6,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: OBSOLETE: Mood instability,CLICC_01_06
CLICC_1_1006,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Mood instability (bi-polar symptoms),CLICC_01_1006
CLICC_1_46,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Emotion dysregulation,CLICC_01_46
CLICC_1_7,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Anger management,CLICC_01_07
CLICC_1_8,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Relationship problem (specific),CLICC_01_08
CLICC_1_9,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Interpersonal functioning,CLICC_01_09
CLICC_1_10,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Social isolation,CLICC_01_10
CLICC_1_11,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Family,CLICC_01_11
CLICC_1_12,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Grief/loss,CLICC_01_12
CLICC_1_13,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Health/medical,CLICC_01_13
CLICC_1_14,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Eating/body image,CLICC_01_14
CLICC_1_15,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Sleep,CLICC_01_15
CLICC_1_16,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Sexual concern,CLICC_01_16
CLICC_1_17,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Pregnancy related,CLICC_01_17
CLICC_1_18,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Identity development,CLICC_01_18
CLICC_1_19,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Self-esteem/confidence,CLICC_01_19
CLICC_1_20,Please indicate your assessment of the client’s primary concerns (check all that apply) answer: Adjustment to new environment,CLICC_01_20
